filename,total connections,# on-campus connections,perc on-campus connections of total,# off-campus connections,perc off-campus connections of total,# library connections,perc library of on-campus connections,perc library of total connections,# student sessions off-campus,perc student sessions of total off-campus,# fac/staff sessions off-campus,perc fac/staff sessions of total off-campus
./logs/ezp201304.log,205,0,0.0,205,100.0,144,n/a,70.24390243902438,0,n/a,0,n/a
./logs/ezp201305.log,822,0,0.0,822,100.0,31,n/a,3.7712895377128954,0,n/a,0,n/a
./logs/ezp201310.log,1059,0,0.0,1059,100.0,48,n/a,4.53257790368272,0,n/a,0,n/a
./logs/ezp201301.log,1706,0,0.0,1706,100.0,748,n/a,43.84525205158265,0,n/a,0,n/a
./logs/ezp201307.log,451,0,0.0,451,100.0,368,n/a,81.59645232815964,0,n/a,0,n/a
./logs/ezp201407.log,1289,0,0.0,1289,100.0,631,n/a,48.95267649340574,0,n/a,0,n/a
./logs/ezp201312.log,654,0,0.0,654,100.0,171,n/a,26.146788990825687,0,n/a,0,n/a
./logs/ezp201306.log,481,0,0.0,481,100.0,39,n/a,8.108108108108109,0,n/a,0,n/a
./logs/ezp201402.log,211,0,0.0,211,100.0,0,n/a,0.0,0,n/a,0,n/a
./logs/ezp201309.log,554,0,0.0,554,100.0,22,n/a,3.9711191335740073,0,n/a,0,n/a
./logs/ezp201303.log,468,0,0.0,468,100.0,110,n/a,23.504273504273502,0,n/a,0,n/a
./logs/ezp201403.log,634,0,0.0,634,100.0,125,n/a,19.71608832807571,0,n/a,0,n/a
./logs/ezp201406.log,282,0,0.0,282,100.0,9,n/a,3.1914893617021276,0,n/a,0,n/a
./logs/ezp201302.log,1682,0,0.0,1682,100.0,66,n/a,3.9239001189060643,0,n/a,0,n/a
./logs/ezp201404.log,1140,0,0.0,1140,100.0,404,n/a,35.43859649122807,0,n/a,0,n/a
./logs/ezp201308.log,232,0,0.0,232,100.0,33,n/a,14.224137931034484,0,n/a,0,n/a
./logs/ezp201311.log,48,0,0.0,48,100.0,0,n/a,0.0,0,n/a,0,n/a
./logs/ezp201401.log,558,0,0.0,558,100.0,50,n/a,8.960573476702509,0,n/a,0,n/a
./logs/ezp201405.log,419,0,0.0,419,100.0,13,n/a,3.1026252983293556,0,n/a,0,n/a
